# Location name (any language we see in the corpus) -> lat, lng.
# Used when a posting has a location string but empty coordinates, which is
# the usual case for Computrabajo country-day TSVs.
# Format: name<TAB>lat<TAB>lng. Matching is case-insensitive and accent-folded.

# --- countries (English, Spanish, common abbreviations) ---
Costa Rica	9.7489	-83.7534
CR	9.7489	-83.7534
Dominican Republic	18.7357	-70.1627
Republica Dominicana	18.7357	-70.1627
República Dominicana	18.7357	-70.1627
DO	18.7357	-70.1627
Mexico	23.6345	-102.5528
México	23.6345	-102.5528
MX	23.6345	-102.5528
Argentina	-38.4161	-63.6167
AR	-38.4161	-63.6167
Colombia	4.5709	-74.2973
CO	4.5709	-74.2973
Peru	-9.1900	-75.0152
Perú	-9.1900	-75.0152
PE	-9.1900	-75.0152
Chile	-35.6751	-71.5430
CL	-35.6751	-71.5430
Venezuela	6.4238	-66.5897
VE	6.4238	-66.5897
Ecuador	-1.8312	-78.1834
EC	-1.8312	-78.1834
Panama	8.5380	-80.7821
Panamá	8.5380	-80.7821
PA	8.5380	-80.7821
Guatemala	15.7835	-90.2308
GT	15.7835	-90.2308
Honduras	15.2000	-86.2419
HN	15.2000	-86.2419
El Salvador	13.7942	-88.8965
SV	13.7942	-88.8965
Nicaragua	12.8654	-85.2072
NI	12.8654	-85.2072
Bolivia	-16.2902	-63.5887
BO	-16.2902	-63.5887
Paraguay	-23.4425	-58.4438
PY	-23.4425	-58.4438
Uruguay	-32.5228	-55.7658
UY	-32.5228	-55.7658
Brazil	-14.2350	-51.9253
Brasil	-14.2350	-51.9253
BR	-14.2350	-51.9253
Cuba	21.5218	-77.7812
CU	21.5218	-77.7812
Puerto Rico	18.2208	-66.5901
PR	18.2208	-66.5901
Spain	40.4637	-3.7492
España	40.4637	-3.7492
ES	40.4637	-3.7492
United States	37.0902	-95.7129
Estados Unidos	37.0902	-95.7129
USA	37.0902	-95.7129
US	37.0902	-95.7129
Canada	56.1304	-106.3468
CA	56.1304	-106.3468
United Kingdom	55.3781	-3.4360
UK	55.3781	-3.4360
GB	55.3781	-3.4360
France	46.2276	2.2137
FR	46.2276	2.2137
Germany	51.1657	10.4515
Alemania	51.1657	10.4515
DE	51.1657	10.4515
Italy	41.8719	12.5674
Italia	41.8719	12.5674
IT	41.8719	12.5674
Portugal	39.3999	-8.2245
PT	39.3999	-8.2245
China	35.8617	104.1954
CN	35.8617	104.1954
India	20.5937	78.9629
IN	20.5937	78.9629
Japan	36.2048	138.2529
JP	36.2048	138.2529
Australia	-25.2744	133.7751
AU	-25.2744	133.7751
Haiti	18.9712	-72.2852
Haití	18.9712	-72.2852
HT	18.9712	-72.2852
Jamaica	18.1096	-77.2975
JM	18.1096	-77.2975
Trinidad and Tobago	10.6918	-61.2225
TT	10.6918	-61.2225
Belize	17.1899	-88.4976
BZ	17.1899	-88.4976
Guyana	4.8604	-58.9302
GY	4.8604	-58.9302
Suriname	3.9193	-56.0278
SR	3.9193	-56.0278
Extranjero	20.0	-40.0

# --- cities that show up as location values ---
Santo Domingo	18.4861	-69.9312
Santo Domingo Norte	18.5500	-69.9000
